                             _LE:LE22 PI: LINE  _S:S22 PI: LINER-,,,,                             _LE:LE22 PI: LINE  _S:S22 PI: LINER-,,,,,,,,,,,,,,,,,,,,
                  X           R-1 E: 124 IP: 1    1 E: 124 IP: 1 ,,,,                  X           R-1 E: 88 IP: 1     1 E: 88 IP: 1  ,,,,,,,,,,,,,,,,,,,,
5.43E-01,9.20E-03,10.3246,,5.43E-01,9.20E-03,10.3246,,,,,,,,,,0.3658,39,,,,,,,
5.58E-01,9.49E-03,10.5962,,5.58E-01,9.49E-03,10.5962,,,,,,,,,,0.4061,40,,,,stress,10,,
5.72E-01,9.79E-03,1.09E+01,,5.72E-01,9.79E-03,10.8679,,,,,,,,,,0.4499,41,,,,A,1.00E-03,,
5.86E-01,1.01E-02,11.1397,,5.86E-01,1.01E-02,11.1397,,,,,,,,,,0.4975,42,,,,n,1.5,,
6.01E-01,1.04E-02,11.4114,,6.01E-01,1.04E-02,11.4114,,,,,,,,,,0.5491,43,,,,m,-0.5,,
6.15E-01,1.07E-02,11.683,,6.15E-01,1.07E-02,11.683,,,,,,,,,,0.6048,44,,,,,,,
6.29E-01,1.11E-02,11.9547,,6.29E-01,1.11E-02,11.9547,,,,,,,,,,0.6650,45,,,,t,epsilon rate,epsilon,
6.44E-01,1.14E-02,12.2266,,6.44E-01,1.14E-02,12.2266,,,,,,,,,,0.7299,46,,,,1,,,
6.58E-01,1.18E-02,12.4981,,6.58E-01,1.18E-02,12.4982,,,,,,,,,,0.7997,47,,,,10,1.00E-02,0.090,
6.72E-01,1.21E-02,12.7698,,6.72E-01,1.21E-02,12.7698,,,,,,,,,,0.8747,48,,,,20,7.07E-03,0.175,
6.86E-01,1.25E-02,13.0416,,6.86E-01,1.25E-02,13.0416,,,,,,,,,,0.9552,49,,,,30,5.77E-03,0.240,
7.01E-01,1.29E-02,13.3134,,7.01E-01,1.29E-02,13.3134,,,,,,,,,,1.0415,50,,,,40,5.00E-03,0.293,
7.15E-01,1.33E-02,13.5849,,7.15E-01,1.33E-02,13.5849,,,,,,,,,,1.1338,51,,,,50,4.47E-03,0.341,
7.29E-01,1.36E-02,13.8566,,7.29E-01,1.36E-02,13.8566,,,,,,,,,,1.2325,52,,,,60,4.08E-03,0.384,
7.44E-01,1.41E-02,14.1285,,7.44E-01,1.41E-02,14.1285,,,,,,,,,,1.3378,53,,,,70,3.78E-03,0.423,
7.58E-01,1.45E-02,14.4002,,7.58E-01,1.45E-02,14.4002,,,,,,,,,,1.4501,54,,,,80,3.54E-03,0.459,
7.72E-01,1.49E-02,14.6717,,7.72E-01,1.49E-02,14.6717,,,,,,,,,,1.5697,55,,,,90,3.33E-03,0.494,
7.87E-01,1.54E-02,14.9434,,7.87E-01,1.54E-02,14.9434,,,,,,,,,,1.6969,56,,,,100,3.16E-03,0.526,
8.01E-01,1.58E-02,15.2155,,8.01E-01,1.58E-02,15.2155,,,,,,,,,,1.8320,57,,,,,,,
8.15E-01,1.63E-02,15.4869,,8.15E-01,1.63E-02,15.4869,,,,,,,,,,1.9755,58,,,,,,,
8.29E-01,1.68E-02,15.7585,,8.29E-01,1.68E-02,15.7586,,,,,,,,,,2.1277,59,,,,,,,
8.44E-01,1.73E-02,16.0303,,8.44E-01,1.73E-02,16.0303,,,,,,,,,,2.2888,60,,,,,,,
8.58E-01,1.79E-02,16.3026,,8.58E-01,1.79E-02,16.3026,,,,,,,,,,,,,,,,,,
8.72E-01,1.84E-02,16.5732,,8.72E-01,1.84E-02,16.5732,,,,,,,,,,,,,,,,,,
8.87E-01,1.90E-02,16.8454,,8.87E-01,1.90E-02,16.8454,,,,,,,,,,,,,,,,,,
9.01E-01,1.96E-02,17.1173,,9.01E-01,1.96E-02,17.1173,,,,,,,,,,,,,,,,,,
9.15E-01,2.02E-02,17.3893,,9.15E-01,2.02E-02,17.3893,,,,,,,,,,,,,,,,,,
9.30E-01,2.08E-02,17.6601,,9.30E-01,2.08E-02,17.6601,,,,,,,,,,,,,,,,,,
9.44E-01,2.14E-02,17.9321,,9.44E-01,2.14E-02,17.9322,,,,,,,,,,,,,,,,,,
9.58E-01,2.21E-02,18.2048,,9.58E-01,2.21E-02,18.2048,,,,,,,,,,,,,,,,,,
9.72E-01,2.28E-02,18.4758,,9.72E-01,2.28E-02,18.4758,,,,,,,,,,,,,,,,,,
9.87E-01,2.35E-02,18.7476,,9.87E-01,2.35E-02,18.7476,,,,,,,,,,,,,,,,,,
1,2.42E-02,18.9998,,1,2.42E-02,18.9998,,,,,,,,,,,,,,,,,,
,,,,1,2.42E-02,18.9998,,,,,,,,,,,,,,,,,,
,,,,6,2.79E-02,18.9981,,,,,,,,,,,,,,,,,,
,,,,11,2.94E-02,18.9998,,,,,,,,,,,,,,,,,,
,,,,16,3.06E-02,18.9987,,,,,,,,,,,,,,,,,,
,,,,21,3.16E-02,19,,,,,,,,,,,,,,,,,,
,,,,26,3.25E-02,19,,,,,,,,,,,,,,,,,,
,,,,31,3.33E-02,18.9983,,,,,,,,,,,,,,,,,,
,,,,36,3.40E-02,18.9988,,,,,,,,,,,,,,,,,,
,,,,41,3.47E-02,18.9989,,,,,,,,,,,,,,,,,,
,,,,46,3.53E-02,18.9991,,,,,,,,,,,,,,,,,,
,,,,51,3.59E-02,18.9993,,,,,,,,,,,,,,,,,,
,,,,56,3.65E-02,18.9993,,,,,,,,,,,,,,,,,,
,,,,61,3.70E-02,18.9994,,,,,,,,,,,,,,,,,,
,,,,66,3.75E-02,18.9994,,,,,,,,,,,,,,,,,,
,,,,71,3.80E-02,18.9995,,,,,,,,,,,,,,,,,,
